,price,part,year,district,area,rooms,floor,tot_floors,type,street,cent_heat,rem_heat,intercom,internet,cable,sewer,aircon,elevator,new,parking,basement,phone,terrace,being_built,papers,enterable,euro_per_sqm,location_string,coordinates
316,90000.0,Centar (Palilula),1962.0,Palilula,50.0,2.0,1,12,stan,Nikodima Milaša,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1800.0,"Nikodima Milaša, Beograd","(44.8090876, 20.482259)"
317,57000.0,Višnjička banja,1990.0,Palilula,64.0,2.0,2,4,stan,Višnjički venac,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,890.625,"Višnjički venac, Beograd","(44.8167598, 20.5347772)"
318,88000.0,Donji Dorćol,1960.0,Stari grad,47.0,2.0,,3,stan,Solunska,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1872.34042553,"Solunska, Beograd","(44.5372579, 20.3659836)"
321,260000.0,Centar (Stari grad),2010.0,Stari grad,98.0,3.0,6,7,stan,Takovska,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2653.06122449,"Takovska, Beograd","(44.8158016, 20.4760523)"
336,134011.0,Dorćol,1964.0,Stari grad,62.0,3.0,6,7,stan,Strahinjića bana,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2161.46774194,"Strahinjića bana, Beograd","(44.4482103, 20.6873929)"
337,170000.0,Centar (Savski venac),1935.0,Savski Venac,109.0,3.5,2,4,stan,Kneza Miloša,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1559.63302752,"Kneza Miloša, Beograd","(44.8094805, 20.4647222)"
339,167500.0,Hram Svetog Save,1934.0,Vračar,67.0,3.0,1,4,stan,Mačvanska,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2500.0,"Mačvanska, Beograd","(44.7980085, 20.470115)"
340,76000.0,Dorćol,1984.0,Stari grad,42.0,1.0,1,8,stan,Mike alasa,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1809.52380952,"Mike alasa, Beograd","(44.8265848, 20.4631317)"
341,239011.0,Neimar,1932.0,Vračar,108.0,4.0,,2,stan,Internacionalnih brigada,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2213.06481481,"Internacionalnih brigada, Beograd","(44.7946566, 20.4733132)"
343,105000.0,Centar (Palilula),1960.0,Palilula,85.0,3.5,1,8,stan,Bulevar despota Stefana,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1235.29411765,"Bulevar despota Stefana, Beograd","(44.8172775, 20.4785234)"
346,79000.0,Banjica,1980.0,Voždovac,78.0,3.0,4,6,stan,Bul. Oslobođenja,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1012.82051282,"Bul. Oslobođenja, Beograd","(42.9962093, 21.9448471)"
358,64000.0,Mirijevo,1985.0,Zvezdara,78.0,3.0,1,8,stan,Mirijevski venac,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,820.512820513,"Mirijevski venac, Beograd","(44.7913486, 20.5329223)"
361,175000.0,Hram Svetog Save,1990.0,Vračar,83.0,3.5,,3,stan,Sokolska,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2108.43373494,"Sokolska, Beograd","(44.7980818, 20.4730135)"
362,68000.0,Višnjička banja,1980.0,Palilula,68.0,2.0,3,4,stan,Slobodana Jovanovića,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1000.0,"Slobodana Jovanovića, Beograd","(44.8161335, 20.5380813)"
364,130000.0,Palilulska pijaca,1936.0,Palilula,75.0,3.0,4,5,stan,Ilije Garašanina,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1733.33333333,"Ilije Garašanina, Beograd","(44.8124017, 20.4706546)"
365,48500.0,Olimp,2013.0,Zvezdara,35.0,1.0,3,3,stan,Paje Jovanovića,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1385.71428571,"Paje Jovanovića, Beograd","(44.759819, 20.6166607)"
366,115000.0,Blok 21,1970.0,Novi Beograd,68.0,3.0,2,4,stan,Bul. Zorana Đinđića,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1691.17647059,"Bul. Zorana Đinđića, Beograd","(44.826451, 20.3985536)"
368,80000.0,Banjica,2005.0,Voždovac,144.0,4.0,1,2,stan,Bulevar Oslobođenja,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,555.555555556,"Bulevar Oslobođenja, Beograd","(42.9962093, 21.9448471)"
372,41500.0,Mirijevo,2007.0,Zvezdara,46.0,1.5,4,4,stan,Mihaila Bulgakova,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,902.173913043,"Mihaila Bulgakova, Beograd","(44.785392, 20.5461758)"
377,87911.0,Naselje Dr. Ivana Ribara,1990.0,Novi Beograd,90.0,4.0,3,6,stan,Dr.Ivana Ribara,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,976.788888889,"Dr.Ivana Ribara, Beograd","(44.7984109, 20.3688457)"
381,46000.0,Konjarnik,2006.0,Zvezdara,46.0,1.0,2,4,stan,Mihaila Todorovića,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1000.0,"Mihaila Todorovića, Beograd","(44.7802457, 20.5110008)"
